GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
server,cloudbrain.windmill.utils,Md5Util,131,0,2,0,16,0,3,0,2,0
server,cloudbrain.windmill.utils,ConfReadUtils,3,16,0,0,1,3,1,1,1,1
server,cloudbrain.windmill.utils,AESUtil,83,0,0,0,21,0,3,0,3,0
server,cloudbrain.windmill.utils,TokenUtil,46,0,6,0,15,0,6,0,3,0
server,cloudbrain.library,secret,34,0,0,0,8,0,3,0,3,0
server,cloudbrain.windmill,Server,170,0,4,0,37,0,12,0,10,0
server,cloudbrain.windmill.handler,GetUserHandler,77,0,4,0,21,0,5,0,3,0
server,cloudbrain.windmill.handler,WXCallbackHandler,234,158,7,1,44,28,6,3,2,3
server,cloudbrain.windmill.handler,LoginHandler,21,0,0,0,5,0,2,0,2,0
server,cloudbrain.windmill.constant,UrlConstant,10,0,0,0,4,0,2,0,2,0
